line_metric_id,line_id,report_date,event_time,production_status,planned_production_minutes,downtime_minutes,operating_time_minutes,total_count,good_count,reject_count,availability,performance,quality,oee,alarm_count,bottleneck_equipment_id,oee_calculation_method
LMET-PL-SMT-01-20260714-23,PL-SMT-01,2026-07-14,2026-07-14T23:00:00+08:00,RUNNING,60,4,56,849,844,5,0.9333,0.9107,0.9943,0.8451,0,EQ-SMT-L01-SPI01,BOTTLENECK_EQUIPMENT
LMET-PL-SMT-01-20260715-00,PL-SMT-01,2026-07-15,2026-07-15T00:00:00+08:00,RUNNING,60,4,56,874,866,8,0.9333,0.937,0.9909,0.8665,0,EQ-SMT-L01-SPI01,BOTTLENECK_EQUIPMENT
LMET-PL-SMT-01-20260715-01,PL-SMT-01,2026-07-15,2026-07-15T01:00:00+08:00,DEGRADED,60,44,16,360,358,2,0.2667,0.9003,0.997,0.2394,1,EQ-SMT-L01-MNT01,BOTTLENECK_EQUIPMENT
LMET-PL-SMT-01-20260715-02,PL-SMT-01,2026-07-15,2026-07-15T02:00:00+08:00,RUNNING,60,4,56,901,892,9,0.9333,0.9127,0.9906,0.8438,0,EQ-SMT-L01-PRN01,BOTTLENECK_EQUIPMENT
LMET-PL-SMT-01-20260715-03,PL-SMT-01,2026-07-15,2026-07-15T03:00:00+08:00,RUNNING,60,4,56,830,815,15,0.9333,0.9387,0.9828,0.861,0,EQ-SMT-L01-AOI01,BOTTLENECK_EQUIPMENT
LMET-PL-SMT-01-20260715-04,PL-SMT-01,2026-07-15,2026-07-15T04:00:00+08:00,DEGRADED,60,50,10,219,218,1,0.1667,0.8785,0.9964,0.1459,1,EQ-SMT-L01-MNT01,BOTTLENECK_EQUIPMENT
LMET-PL-SMT-01-20260715-05,PL-SMT-01,2026-07-15,2026-07-15T05:00:00+08:00,RUNNING,60,3,57,916,910,6,0.95,0.9112,0.9939,0.8604,0,EQ-SMT-L01-PRN01,BOTTLENECK_EQUIPMENT
LMET-PL-SMT-01-20260715-06,PL-SMT-01,2026-07-15,2026-07-15T06:00:00+08:00,RUNNING,60,4,56,741,732,9,0.9333,0.9265,0.9888,0.855,0,EQ-SMT-L01-RFL01,BOTTLENECK_EQUIPMENT
LMET-PL-SMT-01-20260715-07,PL-SMT-01,2026-07-15,2026-07-15T07:00:00+08:00,DEGRADED,60,42,18,411,407,4,0.3,0.9155,0.9909,0.2722,1,EQ-SMT-L01-MNT01,BOTTLENECK_EQUIPMENT
LMET-PL-SMT-01-20260715-08,PL-SMT-01,2026-07-15,2026-07-15T08:00:00+08:00,RUNNING,60,3,57,834,820,14,0.95,0.9269,0.9836,0.8661,0,EQ-SMT-L01-AOI01,BOTTLENECK_EQUIPMENT
LMET-PL-SMT-01-20260715-09,PL-SMT-01,2026-07-15,2026-07-15T09:00:00+08:00,RUNNING,60,3,57,635,628,7,0.95,0.9294,0.989,0.8732,0,EQ-SMT-L01-RTR01,BOTTLENECK_EQUIPMENT
LMET-PL-SMT-01-20260715-10,PL-SMT-01,2026-07-15,2026-07-15T10:00:00+08:00,DEGRADED,60,42,18,403,400,3,0.3,0.8964,0.9946,0.2675,1,EQ-SMT-L01-MNT01,BOTTLENECK_EQUIPMENT
LMET-PL-SMT-01-20260715-11,PL-SMT-01,2026-07-15,2026-07-15T11:00:00+08:00,RUNNING,60,4,56,865,863,2,0.9333,0.9274,0.9988,0.8645,0,EQ-SMT-L01-SPI01,BOTTLENECK_EQUIPMENT
LMET-PL-SMT-01-20260715-12,PL-SMT-01,2026-07-15,2026-07-15T12:00:00+08:00,RUNNING,60,3,57,882,880,2,0.95,0.9287,0.9986,0.881,0,EQ-SMT-L01-SPI01,BOTTLENECK_EQUIPMENT
LMET-PL-SMT-01-20260715-13,PL-SMT-01,2026-07-15,2026-07-15T13:00:00+08:00,DEGRADED,60,42,18,398,395,3,0.3,0.8847,0.993,0.2636,1,EQ-SMT-L01-MNT01,BOTTLENECK_EQUIPMENT
LMET-PL-SMT-01-20260715-14,PL-SMT-01,2026-07-15,2026-07-15T14:00:00+08:00,RUNNING,60,3,57,923,917,6,0.95,0.9179,0.9945,0.8672,0,EQ-SMT-L01-PRN01,BOTTLENECK_EQUIPMENT
LMET-PL-SMT-01-20260715-15,PL-SMT-01,2026-07-15,2026-07-15T15:00:00+08:00,RUNNING,60,4,56,868,863,5,0.9333,0.9302,0.9953,0.8641,0,EQ-SMT-L01-SPI01,BOTTLENECK_EQUIPMENT
LMET-PL-SMT-01-20260715-16,PL-SMT-01,2026-07-15,2026-07-15T16:00:00+08:00,DEGRADED,60,45,15,323,319,4,0.25,0.8623,0.9905,0.2135,1,EQ-SMT-L01-MNT01,BOTTLENECK_EQUIPMENT
LMET-PL-SMT-01-20260715-17,PL-SMT-01,2026-07-15,2026-07-15T17:00:00+08:00,RUNNING,60,4,56,934,932,2,0.9333,0.9457,0.9988,0.8816,0,EQ-SMT-L01-PRN01,BOTTLENECK_EQUIPMENT
LMET-PL-SMT-01-20260715-18,PL-SMT-01,2026-07-15,2026-07-15T18:00:00+08:00,RUNNING,60,3,57,948,938,10,0.95,0.9425,0.9897,0.8862,0,EQ-SMT-L01-PRN01,BOTTLENECK_EQUIPMENT
LMET-PL-SMT-01-20260715-19,PL-SMT-01,2026-07-15,2026-07-15T19:00:00+08:00,DEGRADED,60,45,15,343,340,3,0.25,0.9148,0.9938,0.2273,1,EQ-SMT-L01-MNT01,BOTTLENECK_EQUIPMENT
LMET-PL-SMT-01-20260715-20,PL-SMT-01,2026-07-15,2026-07-15T20:00:00+08:00,RUNNING,60,4,56,906,898,8,0.9333,0.9709,0.9914,0.8983,0,EQ-SMT-L01-SPI01,BOTTLENECK_EQUIPMENT
LMET-PL-SMT-01-20260715-21,PL-SMT-01,2026-07-15,2026-07-15T21:00:00+08:00,RUNNING,60,4,56,806,802,4,0.9333,0.9126,0.9954,0.8478,0,EQ-SMT-L01-AOI01,BOTTLENECK_EQUIPMENT
LMET-PL-SMT-01-20260715-22,PL-SMT-01,2026-07-15,2026-07-15T22:00:00+08:00,DEGRADED,60,48,12,266,264,2,0.2,0.8895,0.9953,0.1771,1,EQ-SMT-L01-MNT01,BOTTLENECK_EQUIPMENT
LMET-PL-SMT-01-20260715-23,PL-SMT-01,2026-07-15,2026-07-15T23:00:00+08:00,RUNNING,60,4,56,1281,1270,11,0.9333,0.9153,0.9917,0.8472,0,EQ-SMT-L01-MNT01,BOTTLENECK_EQUIPMENT
LMET-PL-SMT-01-20260716-00,PL-SMT-01,2026-07-16,2026-07-16T00:00:00+08:00,RUNNING,60,4,56,852,843,9,0.9333,0.9643,0.99,0.891,0,EQ-SMT-L01-AOI01,BOTTLENECK_EQUIPMENT
LMET-PL-SMT-01-20260716-01,PL-SMT-01,2026-07-16,2026-07-16T01:00:00+08:00,DEGRADED,60,50,10,216,215,1,0.1667,0.8655,0.9985,0.1441,1,EQ-SMT-L01-MNT01,BOTTLENECK_EQUIPMENT
LMET-PL-SMT-01-20260716-02,PL-SMT-01,2026-07-16,2026-07-16T02:00:00+08:00,RUNNING,60,3,57,628,625,3,0.95,0.9193,0.9953,0.8692,0,EQ-SMT-L01-RTR01,BOTTLENECK_EQUIPMENT
LMET-PL-SMT-01-20260716-03,PL-SMT-01,2026-07-16,2026-07-16T03:00:00+08:00,RUNNING,60,4,56,850,844,6,0.9333,0.911,0.9932,0.8445,0,EQ-SMT-L01-SPI01,BOTTLENECK_EQUIPMENT
LMET-PL-SMT-01-20260716-04,PL-SMT-01,2026-07-16,2026-07-16T04:00:00+08:00,DEGRADED,60,44,16,344,341,3,0.2667,0.8612,0.9927,0.228,1,EQ-SMT-L01-MNT01,BOTTLENECK_EQUIPMENT
LMET-PL-SMT-01-20260716-05,PL-SMT-01,2026-07-16,2026-07-16T05:00:00+08:00,RUNNING,60,4,56,737,734,3,0.9333,0.9224,0.9971,0.8584,0,EQ-SMT-L01-RFL01,BOTTLENECK_EQUIPMENT
LMET-PL-SMT-01-20260716-06,PL-SMT-01,2026-07-16,2026-07-16T06:00:00+08:00,DEGRADED,60,26,34,546,540,6,0.5667,0.9648,0.9905,0.5416,1,EQ-SMT-L01-SPI01,BOTTLENECK_EQUIPMENT
LMET-PL-SMT-01-20260716-07,PL-SMT-01,2026-07-16,2026-07-16T07:00:00+08:00,DEGRADED,60,47,13,283,281,2,0.2167,0.8738,0.9935,0.1881,1,EQ-SMT-L01-MNT01,BOTTLENECK_EQUIPMENT
LMET-PL-SMT-01-20260716-08,PL-SMT-01,2026-07-16,2026-07-16T08:00:00+08:00,RUNNING,60,3,57,890,886,4,0.95,0.9372,0.9963,0.887,0,EQ-SMT-L01-SPI01,BOTTLENECK_EQUIPMENT
LMET-PL-SMT-01-20260716-09,PL-SMT-01,2026-07-16,2026-07-16T09:00:00+08:00,RUNNING,60,4,56,623,622,1,0.9333,0.9276,0.9989,0.8648,0,EQ-SMT-L01-RTR01,BOTTLENECK_EQUIPMENT
LMET-PL-SMT-01-20260716-10,PL-SMT-01,2026-07-16,2026-07-16T10:00:00+08:00,DEGRADED,60,46,14,303,302,1,0.2333,0.8679,0.9976,0.202,1,EQ-SMT-L01-MNT01,BOTTLENECK_EQUIPMENT
LMET-PL-SMT-01-20260716-11,PL-SMT-01,2026-07-16,2026-07-16T11:00:00+08:00,RUNNING,60,4,56,812,805,7,0.9333,0.9188,0.9924,0.851,0,EQ-SMT-L01-AOI01,BOTTLENECK_EQUIPMENT
LMET-PL-SMT-01-20260716-12,PL-SMT-01,2026-07-16,2026-07-16T12:00:00+08:00,RUNNING,60,4,56,738,737,1,0.9333,0.9234,0.999,0.8609,0,EQ-SMT-L01-RFL01,BOTTLENECK_EQUIPMENT
LMET-PL-SMT-01-20260716-13,PL-SMT-01,2026-07-16,2026-07-16T13:00:00+08:00,DEGRADED,60,42,18,399,396,3,0.3,0.887,0.9938,0.2645,1,EQ-SMT-L01-MNT01,BOTTLENECK_EQUIPMENT
LMET-PL-SMT-01-20260716-14,PL-SMT-01,2026-07-16,2026-07-16T14:00:00+08:00,RUNNING,60,4,56,871,861,10,0.9333,0.9334,0.9888,0.8614,0,EQ-SMT-L01-SPI01,BOTTLENECK_EQUIPMENT
LMET-PL-SMT-01-20260716-15,PL-SMT-01,2026-07-16,2026-07-16T15:00:00+08:00,RUNNING,60,4,56,819,814,5,0.9333,0.9263,0.9943,0.8596,0,EQ-SMT-L01-AOI01,BOTTLENECK_EQUIPMENT
LMET-PL-SMT-01-20260716-16,PL-SMT-01,2026-07-16,2026-07-16T16:00:00+08:00,DEGRADED,60,47,13,283,280,3,0.2167,0.872,0.9916,0.1874,1,EQ-SMT-L01-MNT01,BOTTLENECK_EQUIPMENT
LMET-PL-SMT-01-20260716-17,PL-SMT-01,2026-07-16,2026-07-16T17:00:00+08:00,RUNNING,60,3,57,883,880,3,0.95,0.9304,0.9967,0.881,0,EQ-SMT-L01-SPI01,BOTTLENECK_EQUIPMENT
LMET-PL-SMT-01-20260716-18,PL-SMT-01,2026-07-16,2026-07-16T18:00:00+08:00,RUNNING,60,4,56,911,907,4,0.9333,0.9768,0.9965,0.9085,0,EQ-SMT-L01-SPI01,BOTTLENECK_EQUIPMENT
LMET-PL-SMT-01-20260716-19,PL-SMT-01,2026-07-16,2026-07-16T19:00:00+08:00,DEGRADED,60,42,18,400,397,3,0.3,0.8908,0.9936,0.2655,1,EQ-SMT-L01-MNT01,BOTTLENECK_EQUIPMENT
LMET-PL-SMT-01-20260716-20,PL-SMT-01,2026-07-16,2026-07-16T20:00:00+08:00,RUNNING,60,4,56,827,822,5,0.9333,0.9354,0.9946,0.8683,0,EQ-SMT-L01-AOI01,BOTTLENECK_EQUIPMENT
LMET-PL-SMT-01-20260716-21,PL-SMT-01,2026-07-16,2026-07-16T21:00:00+08:00,RUNNING,60,4,56,853,849,4,0.9333,0.9149,0.9956,0.8501,0,EQ-SMT-L01-SPI01,BOTTLENECK_EQUIPMENT
LMET-PL-SMT-01-20260716-22,PL-SMT-01,2026-07-16,2026-07-16T22:00:00+08:00,DEGRADED,60,44,16,365,362,3,0.2667,0.9136,0.9932,0.242,1,EQ-SMT-L01-MNT01,BOTTLENECK_EQUIPMENT
LMET-PL-SMT-01-20260716-23,PL-SMT-01,2026-07-16,2026-07-16T23:00:00+08:00,RUNNING,60,4,56,617,609,8,0.9333,0.919,0.9884,0.8478,0,EQ-SMT-L01-RTR01,BOTTLENECK_EQUIPMENT
LMET-PL-SMT-01-20260717-00,PL-SMT-01,2026-07-17,2026-07-17T00:00:00+08:00,RUNNING,60,4,56,737,728,9,0.9333,0.9218,0.989,0.8509,0,EQ-SMT-L01-RFL01,BOTTLENECK_EQUIPMENT
LMET-PL-SMT-01-20260717-01,PL-SMT-01,2026-07-17,2026-07-17T01:00:00+08:00,DEGRADED,60,46,14,312,309,3,0.2333,0.8936,0.9926,0.2069,3,EQ-SMT-L01-MNT01,BOTTLENECK_EQUIPMENT
LMET-PL-SMT-01-20260717-02,PL-SMT-01,2026-07-17,2026-07-17T02:00:00+08:00,RUNNING,60,4,56,859,854,5,0.9333,0.9213,0.9953,0.8558,0,EQ-SMT-L01-SPI01,BOTTLENECK_EQUIPMENT
LMET-PL-SMT-01-20260717-03,PL-SMT-01,2026-07-17,2026-07-17T03:00:00+08:00,RUNNING,60,3,57,624,619,5,0.95,0.9128,0.9921,0.8603,0,EQ-SMT-L01-RTR01,BOTTLENECK_EQUIPMENT
LMET-PL-SMT-01-20260717-04,PL-SMT-01,2026-07-17,2026-07-17T04:00:00+08:00,DEGRADED,60,49,11,240,237,3,0.1833,0.8748,0.9906,0.1588,1,EQ-SMT-L01-MNT01,BOTTLENECK_EQUIPMENT
LMET-PL-SMT-01-20260717-05,PL-SMT-01,2026-07-17,2026-07-17T05:00:00+08:00,RUNNING,60,2,58,1321,1317,4,0.9667,0.9112,0.9977,0.8788,0,EQ-SMT-L01-MNT01,BOTTLENECK_EQUIPMENT
LMET-PL-SMT-01-20260717-06,PL-SMT-01,2026-07-17,2026-07-17T06:00:00+08:00,RUNNING,60,4,56,890,879,11,0.9333,0.9546,0.9882,0.8804,0,EQ-SMT-L01-SPI01,BOTTLENECK_EQUIPMENT
LMET-PL-SMT-01-20260717-07,PL-SMT-01,2026-07-17,2026-07-17T07:00:00+08:00,DEGRADED,60,45,15,335,334,1,0.25,0.894,0.9978,0.223,1,EQ-SMT-L01-MNT01,BOTTLENECK_EQUIPMENT
LMET-PL-SMT-01-20260717-08,PL-SMT-01,2026-07-17,2026-07-17T08:00:00+08:00,RUNNING,60,4,56,907,898,9,0.9333,0.9183,0.9901,0.8486,0,EQ-SMT-L01-PRN01,BOTTLENECK_EQUIPMENT
LMET-PL-SMT-01-20260717-09,PL-SMT-01,2026-07-17,2026-07-17T09:00:00+08:00,RUNNING,60,4,56,824,813,11,0.9333,0.9323,0.9873,0.8591,0,EQ-SMT-L01-AOI01,BOTTLENECK_EQUIPMENT
LMET-PL-SMT-01-20260717-10,PL-SMT-01,2026-07-17,2026-07-17T10:00:00+08:00,DEGRADED,60,45,15,339,336,3,0.25,0.9046,0.9929,0.2245,1,EQ-SMT-L01-MNT01,BOTTLENECK_EQUIPMENT
LMET-PL-SMT-01-20260717-11,PL-SMT-01,2026-07-17,2026-07-17T11:00:00+08:00,RUNNING,60,3,57,839,832,7,0.95,0.9327,0.9918,0.8788,0,EQ-SMT-L01-AOI01,BOTTLENECK_EQUIPMENT
LMET-PL-SMT-01-20260717-12,PL-SMT-01,2026-07-17,2026-07-17T12:00:00+08:00,RUNNING,60,3,57,756,747,9,0.95,0.9289,0.9884,0.8722,0,EQ-SMT-L01-RFL01,BOTTLENECK_EQUIPMENT
LMET-PL-SMT-01-20260717-13,PL-SMT-01,2026-07-17,2026-07-17T13:00:00+08:00,DEGRADED,60,48,12,264,263,1,0.2,0.8815,0.9983,0.176,1,EQ-SMT-L01-MNT01,BOTTLENECK_EQUIPMENT
LMET-PL-SMT-01-20260717-14,PL-SMT-01,2026-07-17,2026-07-17T14:00:00+08:00,RUNNING,60,3,57,896,893,3,0.95,0.9436,0.9974,0.8941,0,EQ-SMT-L01-SPI01,BOTTLENECK_EQUIPMENT
LMET-PL-SMT-01-20260717-15,PL-SMT-01,2026-07-17,2026-07-17T15:00:00+08:00,RUNNING,60,4,56,626,624,2,0.9333,0.9316,0.9979,0.8676,0,EQ-SMT-L01-RTR01,BOTTLENECK_EQUIPMENT
LMET-PL-SMT-01-20260717-16,PL-SMT-01,2026-07-17,2026-07-17T16:00:00+08:00,DEGRADED,60,42,18,409,407,2,0.3,0.9089,0.9961,0.2716,1,EQ-SMT-L01-MNT01,BOTTLENECK_EQUIPMENT
LMET-PL-SMT-01-20260717-17,PL-SMT-01,2026-07-17,2026-07-17T17:00:00+08:00,RUNNING,60,4,56,876,874,2,0.9333,0.9386,0.998,0.8742,0,EQ-SMT-L01-SPI01,BOTTLENECK_EQUIPMENT
LMET-PL-SMT-01-20260717-18,PL-SMT-01,2026-07-17,2026-07-17T18:00:00+08:00,RUNNING,60,3,57,882,877,5,0.95,0.929,0.9949,0.878,0,EQ-SMT-L01-SPI01,BOTTLENECK_EQUIPMENT
LMET-PL-SMT-01-20260717-19,PL-SMT-01,2026-07-17,2026-07-17T19:00:00+08:00,DEGRADED,60,46,14,301,299,2,0.2333,0.8626,0.994,0.2,1,EQ-SMT-L01-MNT01,BOTTLENECK_EQUIPMENT
LMET-PL-SMT-01-20260717-20,PL-SMT-01,2026-07-17,2026-07-17T20:00:00+08:00,RUNNING,60,4,56,618,611,7,0.9333,0.9198,0.9889,0.8489,0,EQ-SMT-L01-RTR01,BOTTLENECK_EQUIPMENT
LMET-PL-SMT-01-20260717-21,PL-SMT-01,2026-07-17,2026-07-17T21:00:00+08:00,RUNNING,60,3,57,884,882,2,0.95,0.9315,0.9987,0.8838,0,EQ-SMT-L01-SPI01,BOTTLENECK_EQUIPMENT
LMET-PL-SMT-01-20260717-22,PL-SMT-01,2026-07-17,2026-07-17T22:00:00+08:00,DEGRADED,60,43,17,379,377,2,0.2833,0.8925,0.9951,0.2516,1,EQ-SMT-L01-MNT01,BOTTLENECK_EQUIPMENT
LMET-PL-SMT-01-20260717-23,PL-SMT-01,2026-07-17,2026-07-17T23:00:00+08:00,RUNNING,60,3,57,741,736,5,0.95,0.9101,0.9935,0.859,0,EQ-SMT-L01-RFL01,BOTTLENECK_EQUIPMENT
LMET-PL-SMT-01-20260718-00,PL-SMT-01,2026-07-18,2026-07-18T00:00:00+08:00,RUNNING,60,4,56,1277,1269,8,0.9333,0.9128,0.9945,0.8472,0,EQ-SMT-L01-MNT01,BOTTLENECK_EQUIPMENT
LMET-PL-SMT-01-20260718-01,PL-SMT-01,2026-07-18,2026-07-18T01:00:00+08:00,DEGRADED,60,46,14,307,303,4,0.2333,0.8793,0.99,0.2031,1,EQ-SMT-L01-MNT01,BOTTLENECK_EQUIPMENT
LMET-PL-SMT-01-20260718-02,PL-SMT-01,2026-07-18,2026-07-18T02:00:00+08:00,RUNNING,60,4,56,836,830,6,0.9333,0.9458,0.9933,0.8768,0,EQ-SMT-L01-AOI01,BOTTLENECK_EQUIPMENT
LMET-PL-SMT-01-20260718-03,PL-SMT-01,2026-07-18,2026-07-18T03:00:00+08:00,RUNNING,60,4,56,736,727,9,0.9333,0.92,0.9881,0.8484,0,EQ-SMT-L01-RFL01,BOTTLENECK_EQUIPMENT
LMET-PL-SMT-01-20260718-04,PL-SMT-01,2026-07-18,2026-07-18T04:00:00+08:00,DEGRADED,60,45,15,343,339,4,0.25,0.9159,0.9897,0.2266,1,EQ-SMT-L01-MNT01,BOTTLENECK_EQUIPMENT
LMET-PL-SMT-01-20260718-05,PL-SMT-01,2026-07-18,2026-07-18T05:00:00+08:00,RUNNING,60,4,56,875,869,6,0.9333,0.9384,0.9932,0.8699,0,EQ-SMT-L01-SPI01,BOTTLENECK_EQUIPMENT
LMET-PL-SMT-01-20260718-06,PL-SMT-01,2026-07-18,2026-07-18T06:00:00+08:00,RUNNING,60,4,56,822,809,13,0.9333,0.9302,0.9845,0.8547,0,EQ-SMT-L01-AOI01,BOTTLENECK_EQUIPMENT
LMET-PL-SMT-01-20260718-07,PL-SMT-01,2026-07-18,2026-07-18T07:00:00+08:00,DEGRADED,60,46,14,304,302,2,0.2333,0.871,0.995,0.2022,1,EQ-SMT-L01-MNT01,BOTTLENECK_EQUIPMENT
LMET-PL-SMT-01-20260718-08,PL-SMT-01,2026-07-18,2026-07-18T08:00:00+08:00,RUNNING,60,3,57,742,740,2,0.95,0.9121,0.9978,0.8646,0,EQ-SMT-L01-RFL01,BOTTLENECK_EQUIPMENT
LMET-PL-SMT-01-20260718-09,PL-SMT-01,2026-07-18,2026-07-18T09:00:00+08:00,RUNNING,60,4,56,875,867,8,0.9333,0.9378,0.9916,0.8679,0,EQ-SMT-L01-SPI01,BOTTLENECK_EQUIPMENT
LMET-PL-SMT-01-20260718-10,PL-SMT-01,2026-07-18,2026-07-18T10:00:00+08:00,DEGRADED,60,44,16,364,363,1,0.2667,0.911,0.9974,0.2423,1,EQ-SMT-L01-MNT01,BOTTLENECK_EQUIPMENT
LMET-PL-SMT-01-20260718-11,PL-SMT-01,2026-07-18,2026-07-18T11:00:00+08:00,RUNNING,60,4,56,1300,1288,12,0.9333,0.9292,0.9908,0.8592,0,EQ-SMT-L01-MNT01,BOTTLENECK_EQUIPMENT
LMET-PL-SMT-01-20260718-12,PL-SMT-01,2026-07-18,2026-07-18T12:00:00+08:00,DEGRADED,60,24,36,479,474,5,0.6,0.9324,0.9898,0.5537,1,EQ-SMT-L01-RFL01,BOTTLENECK_EQUIPMENT
