metric_id,line_id,equipment_id,report_date,event_time,equipment_status,pcb_barcode_reading,planned_production_minutes,downtime_minutes,operating_time_minutes,ideal_cycle_time_seconds,total_count,good_count,reject_count,availability,performance,quality,oee,alarm_count
MET-EQ-SMT-L01-MNT01-20260716-14,PL-SMT-01,EQ-SMT-L01-MNT01,2026-07-16,2026-07-16T14:00:00+08:00,RUNNING,7766,60,3,57,2.4,1330,1314,16,0.95,0.9334,0.9886,0.8766,0
MET-EQ-SMT-L01-MNT01-20260716-15,PL-SMT-01,EQ-SMT-L01-MNT01,2026-07-16,2026-07-16T15:00:00+08:00,RUNNING,4183,60,2,58,2.4,1364,1348,16,0.9667,0.9411,0.9886,0.8994,0
MET-EQ-SMT-L01-MNT01-20260716-16,PL-SMT-01,EQ-SMT-L01-MNT01,2026-07-16,2026-07-16T16:00:00+08:00,FAULT,58215,60,47,13,2.4,283,280,3,0.2167,0.872,0.9916,0.1874,1
MET-EQ-SMT-L01-MNT01-20260716-17,PL-SMT-01,EQ-SMT-L01-MNT01,2026-07-16,2026-07-16T17:00:00+08:00,RUNNING,70,60,4,56,2.4,1329,1325,4,0.9333,0.9495,0.9977,0.8841,0
MET-EQ-SMT-L01-MNT01-20260716-18,PL-SMT-01,EQ-SMT-L01-MNT01,2026-07-16,2026-07-16T18:00:00+08:00,RUNNING,1847,60,3,57,2.4,1384,1367,17,0.95,0.9718,0.9882,0.9123,0
MET-EQ-SMT-L01-MNT01-20260716-19,PL-SMT-01,EQ-SMT-L01-MNT01,2026-07-16,2026-07-16T19:00:00+08:00,FAULT,33620,60,42,18,2.4,400,397,3,0.3,0.8908,0.9936,0.2655,1
MET-EQ-SMT-L01-MNT01-20260716-20,PL-SMT-01,EQ-SMT-L01-MNT01,2026-07-16,2026-07-16T20:00:00+08:00,RUNNING,8817,60,2,58,2.4,1345,1334,11,0.9667,0.9278,0.9922,0.8899,0
MET-EQ-SMT-L01-MNT01-20260716-21,PL-SMT-01,EQ-SMT-L01-MNT01,2026-07-16,2026-07-16T21:00:00+08:00,RUNNING,2716,60,3,57,2.4,1367,1364,3,0.95,0.9594,0.9984,0.91,0
MET-EQ-SMT-L01-MNT01-20260716-22,PL-SMT-01,EQ-SMT-L01-MNT01,2026-07-16,2026-07-16T22:00:00+08:00,FAULT,60201,60,44,16,2.4,365,362,3,0.2667,0.9136,0.9932,0.242,1
MET-EQ-SMT-L01-MNT01-20260716-23,PL-SMT-01,EQ-SMT-L01-MNT01,2026-07-16,2026-07-16T23:00:00+08:00,RUNNING,6303,60,1,59,2.4,1427,1425,2,0.9833,0.9677,0.9989,0.9505,0
MET-EQ-SMT-L01-MNT01-20260717-00,PL-SMT-01,EQ-SMT-L01-MNT01,2026-07-17,2026-07-17T00:00:00+08:00,RUNNING,166,60,3,57,2.4,1341,1331,10,0.95,0.9415,0.9926,0.8878,0
MET-EQ-SMT-L01-MNT01-20260717-01,PL-SMT-01,EQ-SMT-L01-MNT01,2026-07-17,2026-07-17T01:00:00+08:00,FAULT,14618,60,46,14,2.4,312,309,3,0.2333,0.8936,0.9926,0.2069,1
MET-EQ-SMT-L01-MNT01-20260717-02,PL-SMT-01,EQ-SMT-L01-MNT01,2026-07-17,2026-07-17T02:00:00+08:00,RUNNING,7160,60,1,59,2.4,1374,1367,7,0.9833,0.9321,0.9956,0.9125,0
MET-EQ-SMT-L01-MNT01-20260717-03,PL-SMT-01,EQ-SMT-L01-MNT01,2026-07-17,2026-07-17T03:00:00+08:00,RUNNING,9304,60,4,56,2.4,1340,1327,13,0.9333,0.9576,0.9907,0.8854,0
MET-EQ-SMT-L01-MNT01-20260717-04,PL-SMT-01,EQ-SMT-L01-MNT01,2026-07-17,2026-07-17T04:00:00+08:00,FAULT,36064,60,49,11,2.4,240,237,3,0.1833,0.8748,0.9906,0.1588,1
MET-EQ-SMT-L01-MNT01-20260717-05,PL-SMT-01,EQ-SMT-L01-MNT01,2026-07-17,2026-07-17T05:00:00+08:00,RUNNING,3417,60,2,58,2.4,1321,1317,4,0.9667,0.9112,0.9977,0.8788,0
MET-EQ-SMT-L01-MNT01-20260717-06,PL-SMT-01,EQ-SMT-L01-MNT01,2026-07-17,2026-07-17T06:00:00+08:00,RUNNING,7642,60,1,59,2.4,1440,1423,17,0.9833,0.9763,0.9886,0.9491,0
MET-EQ-SMT-L01-MNT01-20260717-07,PL-SMT-01,EQ-SMT-L01-MNT01,2026-07-17,2026-07-17T07:00:00+08:00,FAULT,47413,60,45,15,2.4,335,334,1,0.25,0.894,0.9978,0.223,1
MET-EQ-SMT-L01-MNT01-20260717-08,PL-SMT-01,EQ-SMT-L01-MNT01,2026-07-17,2026-07-17T08:00:00+08:00,RUNNING,9860,60,3,57,2.4,1343,1339,4,0.95,0.9426,0.9976,0.8933,0
MET-EQ-SMT-L01-MNT01-20260717-09,PL-SMT-01,EQ-SMT-L01-MNT01,2026-07-17,2026-07-17T09:00:00+08:00,RUNNING,4797,60,2,58,2.4,1326,1318,8,0.9667,0.9151,0.9945,0.8798,0
MET-EQ-SMT-L01-MNT01-20260717-10,PL-SMT-01,EQ-SMT-L01-MNT01,2026-07-17,2026-07-17T10:00:00+08:00,FAULT,44258,60,45,15,2.4,339,336,3,0.25,0.9046,0.9929,0.2245,1
MET-EQ-SMT-L01-MNT01-20260717-11,PL-SMT-01,EQ-SMT-L01-MNT01,2026-07-17,2026-07-17T11:00:00+08:00,RUNNING,272,60,1,59,2.4,1403,1398,5,0.9833,0.9514,0.9968,0.9325,0
MET-EQ-SMT-L01-MNT01-20260717-12,PL-SMT-01,EQ-SMT-L01-MNT01,2026-07-17,2026-07-17T12:00:00+08:00,RUNNING,6272,60,2,58,2.4,1349,1345,4,0.9667,0.9307,0.9971,0.8971,0
MET-EQ-SMT-L01-MNT01-20260717-13,PL-SMT-01,EQ-SMT-L01-MNT01,2026-07-17,2026-07-17T13:00:00+08:00,FAULT,62405,60,48,12,2.4,264,263,1,0.2,0.8815,0.9983,0.176,1
MET-EQ-SMT-L01-MNT01-20260717-14,PL-SMT-01,EQ-SMT-L01-MNT01,2026-07-17,2026-07-17T14:00:00+08:00,RUNNING,5643,60,4,56,2.4,1359,1357,2,0.9333,0.9708,0.999,0.9051,0
MET-EQ-SMT-L01-MNT01-20260717-15,PL-SMT-01,EQ-SMT-L01-MNT01,2026-07-17,2026-07-17T15:00:00+08:00,RUNNING,3674,60,1,59,2.4,1358,1355,3,0.9833,0.9207,0.9981,0.9036,0
MET-EQ-SMT-L01-MNT01-20260717-16,PL-SMT-01,EQ-SMT-L01-MNT01,2026-07-17,2026-07-17T16:00:00+08:00,FAULT,19639,60,42,18,2.4,409,407,2,0.3,0.9089,0.9961,0.2716,1
MET-EQ-SMT-L01-MNT01-20260717-17,PL-SMT-01,EQ-SMT-L01-MNT01,2026-07-17,2026-07-17T17:00:00+08:00,RUNNING,6687,60,3,57,2.4,1371,1356,15,0.95,0.9622,0.9891,0.9041,0
MET-EQ-SMT-L01-MNT01-20260717-18,PL-SMT-01,EQ-SMT-L01-MNT01,2026-07-17,2026-07-17T18:00:00+08:00,RUNNING,4471,60,4,56,2.4,1360,1349,11,0.9333,0.9718,0.9921,0.8998,0
MET-EQ-SMT-L01-MNT01-20260717-19,PL-SMT-01,EQ-SMT-L01-MNT01,2026-07-17,2026-07-17T19:00:00+08:00,FAULT,20819,60,46,14,2.4,301,299,2,0.2333,0.8626,0.994,0.2,1
MET-EQ-SMT-L01-MNT01-20260717-20,PL-SMT-01,EQ-SMT-L01-MNT01,2026-07-17,2026-07-17T20:00:00+08:00,RUNNING,3793,60,1,59,2.4,1429,1427,2,0.9833,0.9693,0.9989,0.9521,0
MET-EQ-SMT-L01-MNT01-20260717-21,PL-SMT-01,EQ-SMT-L01-MNT01,2026-07-17,2026-07-17T21:00:00+08:00,RUNNING,4112,60,4,56,2.4,1354,1349,5,0.9333,0.9672,0.997,0.9,0
MET-EQ-SMT-L01-MNT01-20260717-22,PL-SMT-01,EQ-SMT-L01-MNT01,2026-07-17,2026-07-17T22:00:00+08:00,FAULT,63601,60,43,17,2.4,379,377,2,0.2833,0.8925,0.9951,0.2516,1
MET-EQ-SMT-L01-MNT01-20260717-23,PL-SMT-01,EQ-SMT-L01-MNT01,2026-07-17,2026-07-17T23:00:00+08:00,RUNNING,2445,60,2,58,2.4,1365,1359,6,0.9667,0.9414,0.9962,0.9066,0
MET-EQ-SMT-L01-MNT01-20260718-00,PL-SMT-01,EQ-SMT-L01-MNT01,2026-07-18,2026-07-18T00:00:00+08:00,RUNNING,8747,60,4,56,2.4,1277,1269,8,0.9333,0.9128,0.9945,0.8472,0
MET-EQ-SMT-L01-MNT01-20260718-01,PL-SMT-01,EQ-SMT-L01-MNT01,2026-07-18,2026-07-18T01:00:00+08:00,FAULT,10893,60,46,14,2.4,307,303,4,0.2333,0.8793,0.99,0.2031,1
MET-EQ-SMT-L01-MNT01-20260718-02,PL-SMT-01,EQ-SMT-L01-MNT01,2026-07-18,2026-07-18T02:00:00+08:00,RUNNING,1673,60,2,58,2.4,1330,1315,15,0.9667,0.9177,0.9892,0.8776,0
MET-EQ-SMT-L01-MNT01-20260718-03,PL-SMT-01,EQ-SMT-L01-MNT01,2026-07-18,2026-07-18T03:00:00+08:00,RUNNING,4692,60,3,57,2.4,1346,1337,9,0.95,0.9451,0.9934,0.8919,0
MET-EQ-SMT-L01-MNT01-20260718-04,PL-SMT-01,EQ-SMT-L01-MNT01,2026-07-18,2026-07-18T04:00:00+08:00,FAULT,25494,60,45,15,2.4,343,339,4,0.25,0.9159,0.9897,0.2266,1
MET-EQ-SMT-L01-MNT01-20260718-05,PL-SMT-01,EQ-SMT-L01-MNT01,2026-07-18,2026-07-18T05:00:00+08:00,RUNNING,9463,60,1,59,2.4,1384,1379,5,0.9833,0.9389,0.997,0.9205,0
MET-EQ-SMT-L01-MNT01-20260718-06,PL-SMT-01,EQ-SMT-L01-MNT01,2026-07-18,2026-07-18T06:00:00+08:00,RUNNING,2916,60,2,58,2.4,1381,1379,2,0.9667,0.9525,0.9986,0.9195,0
MET-EQ-SMT-L01-MNT01-20260718-07,PL-SMT-01,EQ-SMT-L01-MNT01,2026-07-18,2026-07-18T07:00:00+08:00,FAULT,42117,60,46,14,2.4,304,302,2,0.2333,0.871,0.995,0.2022,1
MET-EQ-SMT-L01-MNT01-20260718-08,PL-SMT-01,EQ-SMT-L01-MNT01,2026-07-18,2026-07-18T08:00:00+08:00,RUNNING,9432,60,4,56,2.4,1353,1347,6,0.9333,0.9668,0.9958,0.8985,0
MET-EQ-SMT-L01-MNT01-20260718-09,PL-SMT-01,EQ-SMT-L01-MNT01,2026-07-18,2026-07-18T09:00:00+08:00,RUNNING,2720,60,1,59,2.4,1415,1406,9,0.9833,0.9594,0.9937,0.9374,0
MET-EQ-SMT-L01-MNT01-20260718-10,PL-SMT-01,EQ-SMT-L01-MNT01,2026-07-18,2026-07-18T10:00:00+08:00,FAULT,57573,60,44,16,2.4,364,363,1,0.2667,0.911,0.9974,0.2423,1
MET-EQ-SMT-L01-MNT01-20260718-11,PL-SMT-01,EQ-SMT-L01-MNT01,2026-07-18,2026-07-18T11:00:00+08:00,RUNNING,3096,60,4,56,2.4,1300,1288,12,0.9333,0.9292,0.9908,0.8592,0
MET-EQ-SMT-L01-MNT01-20260718-12,PL-SMT-01,EQ-SMT-L01-MNT01,2026-07-18,2026-07-18T12:00:00+08:00,RUNNING,7282,60,3,57,2.4,1384,1380,4,0.95,0.9714,0.9975,0.9205,0
MET-EQ-SMT-L01-MNT01-20260718-13,PL-SMT-01,EQ-SMT-L01-MNT01,2026-07-18,2026-07-18T13:00:00+08:00,FAULT,29067,60,46,14,2.4,320,318,2,0.2333,0.9154,0.9966,0.2128,1
MET-EQ-SMT-L01-MNT01-20260718-14,PL-SMT-01,EQ-SMT-L01-MNT01,2026-07-18,2026-07-18T14:00:00+08:00,RUNNING,8015,60,1,59,2.4,1378,1372,6,0.9833,0.9343,0.9959,0.9149,0
MET-EQ-SMT-L01-MNT01-20260718-15,PL-SMT-01,EQ-SMT-L01-MNT01,2026-07-18,2026-07-18T15:00:00+08:00,RUNNING,5356,60,4,56,2.4,1363,1359,4,0.9333,0.9739,0.9975,0.9067,0
MET-EQ-SMT-L01-MNT01-20260718-16,PL-SMT-01,EQ-SMT-L01-MNT01,2026-07-18,2026-07-18T16:00:00+08:00,FAULT,47252,60,47,13,2.4,285,282,3,0.2167,0.8771,0.9906,0.1883,1
